1,E S/MAX W 4,1,22999,2,1,"Горные лыжи Salomon E S/Max W 4 с креплениями M10 GW для катания по подготовленным склонам. Легкая и простая в управлении модель подойдет начинающим лыжницам, стремящимся выполнить свои первые резаные повороты. Удобные крепления за секунды подгоняются под размер любых ботинок, а также обеспечивают быстрое встегивание и выстегивание для лыжниц с самым низким весом. "
2,REVOLT 86,2,22399,3,1,Популярные парковые лыжи от Volkl - удачный выбор для продвинутых горнолыжников.
3,V-Shape AR PP9 red,3,26999,3,1,"Горные лыжи Head с невысокой продольной жесткостью — отличный выбор для начала обучения. Невысокая жесткость позволит освоить ведение лыж, не усложняя первые шаги новичка скоростью и резкостью поворотов. "
4,Kanjo 84,2,30099,3,1,Универсальная модель горных лыж от Volkl отличается стабильностью на подготовленных склонах и уверенным поведением вне трассы.
5,Vantage 75 R,4,31499,3,1,"Atomic Vantage 75 — одна из самых легких моделей в линейке Vantage, которая поможет новичкам или прогрессирующим лыжникам улучшить свое катание. Стабильность, контроль и легкое управление — вот основные качества этой модели. Лыжи сочетают мощность трассовой модели и маневренность моделей all-mountain и подойдут тем, кто катается преимущественно по подготовленным склонам. "
6,Kendo 88,2,35699,3,1,Универсальная модель горных лыж от Volkl отличается стабильностью на подготовленных склонах и уверенным поведением вне трассы.
7,E S/Force Fever,1,46999,2,1,"Этот комплект — прекрасный выбор для горнолыжниц, которые выбирают уверенное и стабильное круизное катание по любым трассам. "
